crop,region,season,sowing_start,sowing_end,harvest_start,harvest_end,seed_kg_per_acre,notes,source
rice_aus,northern,aus,15-Mar,15-Apr,15-Jul,15-Aug,11-14,HYV transplant; broadcast needs 28-37 kg/acre,BBS 2025 §1.8
rice_aus,central,aus,15-Mar,15-Apr,15-Jul,15-Aug,11-14,HYV transplant; broadcast needs 28-37 kg/acre,BBS 2025 §1.8
rice_aus,coastal,aus,08-Mar,08-Apr,08-Jul,08-Aug,11-14,HYV transplant; broadcast needs 28-37 kg/acre,BBS 2025 §1.8
rice_aman,northern,aman,13-Jun,08-Sep,08-Dec,08-Jan,8-11,Transplanted monsoon crop,BBS 2025 §1.8
rice_aman,central,aman,20-Jun,15-Sep,15-Dec,15-Jan,8-11,Transplanted monsoon crop,BBS 2025 §1.8
rice_aman,coastal,aman,06-Jun,01-Sep,01-Dec,01-Jan,8-11,Transplanted monsoon crop,BBS 2025 §1.8
rice_boro,northern,boro,22-Dec,22-Feb,22-Apr,22-Jun,8-11,Irrigated winter crop; main surplus season,BBS 2025 §1.8
rice_boro,central,boro,15-Dec,15-Feb,15-Apr,15-Jun,8-11,Irrigated winter crop; main surplus season,BBS 2025 §1.8
rice_boro,coastal,boro,15-Dec,15-Feb,15-Apr,15-Jun,8-11,Irrigated winter crop; main surplus season,BBS 2025 §1.8
wheat,northern,rabi,08-Nov,08-Dec,08-Mar,08-Apr,28-47,Seed rate rises with irrigation frequency,BBS 2025 §1.8
wheat,central,rabi,15-Nov,15-Dec,15-Mar,15-Apr,28-47,Seed rate rises with irrigation frequency,BBS 2025 §1.8
wheat,coastal,rabi,15-Nov,15-Dec,15-Mar,15-Apr,28-47,Seed rate rises with irrigation frequency,BBS 2025 §1.8
maize,northern,rabi,15-Oct,15-Dec,15-Apr,31-May,7-9,Rabi maize,BBS 2025 §1.8
maize,central,rabi,15-Oct,15-Dec,15-Apr,31-May,7-9,Rabi maize,BBS 2025 §1.8
maize,coastal,rabi,15-Oct,15-Dec,15-Apr,31-May,7-9,Rabi maize,BBS 2025 §1.8
barley,northern,rabi,15-Oct,15-Dec,15-Feb,15-Apr,23-28,,BBS 2025 §1.8
barley,central,rabi,15-Oct,15-Dec,15-Feb,15-Apr,23-28,,BBS 2025 §1.8
barley,coastal,rabi,15-Oct,15-Dec,15-Feb,15-Apr,23-28,,BBS 2025 §1.8
lentil,northern,rabi,08-Nov,08-Dec,08-Mar,08-Apr,20-25,Legume; low N requirement,DAE / BARC 2018
lentil,central,rabi,15-Nov,15-Dec,15-Mar,15-Apr,20-25,Legume; low N requirement,DAE / BARC 2018
lentil,coastal,rabi,15-Nov,15-Dec,15-Mar,15-Apr,20-25,Legume; low N requirement,DAE / BARC 2018
mung,northern,kharif,15-Mar,15-Apr,15-Jul,15-Aug,20-25,,DAE / BARC 2018
mung,central,kharif,15-Mar,15-Apr,15-Jul,15-Aug,20-25,,DAE / BARC 2018
mung,coastal,kharif,15-Mar,15-Apr,15-Jul,15-Aug,20-25,,DAE / BARC 2018
masur,northern,rabi,15-Nov,15-Dec,15-Mar,15-Apr,20-25,,DAE / BARC 2018
masur,central,rabi,15-Nov,15-Dec,15-Mar,15-Apr,20-25,,DAE / BARC 2018
masur,coastal,rabi,15-Nov,15-Dec,15-Mar,15-Apr,20-25,,DAE / BARC 2018
mustard,northern,rabi,08-Oct,08-Nov,08-Feb,08-Mar,5-7,Main rabi oilseed of Bangladesh,DAE / BARC 2018
mustard,central,rabi,15-Oct,15-Nov,15-Feb,15-Mar,5-7,Main rabi oilseed of Bangladesh,DAE / BARC 2018
mustard,coastal,rabi,15-Oct,15-Nov,15-Feb,15-Mar,5-7,Main rabi oilseed of Bangladesh,DAE / BARC 2018
soybean,northern,kharif,15-Apr,15-May,15-Aug,15-Sep,25-30,,DAE / BARC 2018
